,Fiyat,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Tapu Durumu,Eşya Durumu,Site İçerisinde,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Banyo Sayısı,Balkon Sayısı,WC Sayısı,Sehir,Ilce,Mahalle
10407,2950000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,21 Ve Üzeri,4,Boş,,1,,,İstanbul,Adalar,Heybeliada Mahallesi
10408,9450000,6,2,Kombi Doğalgaz,Krediye Uygun,,,Eşyalı,Hayır,170,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,2,,,İstanbul,Adalar,Maden Mahallesi
10409,3550000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,21 Ve Üzeri,3,Boş,,1,,,İstanbul,Adalar,Heybeliada Mahallesi
10410,15300000,6,6,Kombi Doğalgaz,Krediye Uygun,,,Eşyalı,Hayır,250,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,,2,,,İstanbul,Adalar,Burgazada Mahallesi
10411,13000000,5,2,Kat Kaloriferi,Krediye Uygun,İkinci El,,,Hayır,230,21 Ve Üzeri,3,Boş,,2,,,İstanbul,Adalar,Heybeliada Mahallesi
10412,15000000,5,2,Klimalı,Krediye Uygun,,Kat Mülkiyeti,,Evet,220,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,2,,,İstanbul,Adalar,Burgazada Mahallesi
10413,11990000,5,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,,Boş,Hayır,160,21 Ve Üzeri,4,Boş,,2,,1.0,İstanbul,Adalar,Burgazada Mahallesi
10414,7500000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Eşyalı,Hayır,130,21 Ve Üzeri,4,Boş,,1,,,İstanbul,Adalar,Nizam Mahallesi
10416,2995000,3,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,65,21 Ve Üzeri,3,Boş,,1,,,İstanbul,Adalar,Heybeliada Mahallesi
10417,8300000,4,2,Klimalı,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,120,21 Ve Üzeri,4,Boş,,1,3.0,1.0,İstanbul,Adalar,Kınalıada Mahallesi
